Trait,Trait description,# lines measured,Phenotyped_sex,Reference
Night sleep SD (F),"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Female,Wu et al (2018) SLEEPJ
Night sleep SD (M),"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",167,Male,Wu et al (2018) SLEEPJ
Olfactory response 1-hexanol (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in 1-Hexanol solution. Higher values indicate avoidance of 1-Hexanol, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response 1-hexanol (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in 1-Hexanol solution. Higher values indicate avoidance of 1-Hexanol, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response 2-heptanone (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in 2-Heptanone solution. Higher values indicate avoidance of 2-Heptanone, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response 2-heptanone (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in 2-Heptanone solution. Higher values indicate avoidance of 2-Heptanone, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response 2-phenyl ethyl alcohol (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in 2-Phenyl ethyl alcohol solution. Higher values indicate avoidance of 2-Phenyl ethyl alcohol, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response 2-phenyl ethyl alcohol (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in 2-Phenyl ethyl alcohol solution. Higher values indicate avoidance of 2-Phenyl ethyl alcohol, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response acetophenone (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Acetophenone solution. Higher values indicate avoidance of Acetophenone, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response acetophenone (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Acetophenone solution. Higher values indicate avoidance of Acetophenone, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response benzaldehyde  (F),"Mean response of flies to a dipstick assay using 0.3% benzaldehyde. Higher values indicate aversion, lower values indicate attraction.",164,Female,Swarup et al (2013) PNAS
Olfactory response benzaldehyde  (M),"Mean response of flies to a dipstick assay using 0.3% benzaldehyde. Higher values indicate aversion, lower values indicate attraction.",164,Male,Swarup et al (2013) PNAS
Olfactory response benzaldehyde  (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Benzaldehyde solution. Higher values indicate avoidance of Benzaldehyde, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response benzaldehyde  (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Benzaldehyde solution. Higher values indicate avoidance of Benzaldehyde, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response citral (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Citral solution. Higher values indicate avoidance of Citral, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response citral (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Citral solution. Higher values indicate avoidance of Citral, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response D-carvone (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in d-Carvone solution. Higher values indicate avoidance of d-Carvone, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response D-carvone (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in d-Carvone solution. Higher values indicate avoidance of d-Carvone, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response ethanol (F),"Flies were given a choice between a tube containing ethanol and a tube containing water. Higher values indicate an attraction to ethanol, while lower values indicate an aversion to ethanol.",167,Female,Chohan (2012) PhD thesis
Olfactory response ethanol (M),"Flies were given a choice between a tube containing ethanol and a tube containing water. Higher values indicate an attraction to ethanol, while lower values indicate an aversion to ethanol.",167,Male,Chohan (2012) PhD thesis
Olfactory response ethylacetate (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethylacetate solution. Higher values indicate avoidance of Ethylacetate, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response ethylacetate (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethylacetate solution. Higher values indicate avoidance of Ethylacetate, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response ethylbutyrate (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethyl butyrate solution. Higher values indicate avoidance of Ethyl butyrate, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response ethylbutyrate (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Ethyl butyrate solution. Higher values indicate avoidance of Ethyl butyrate, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response eugenol (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Eugenol solution. Higher values indicate avoidance of Eugenol, lower values indicate attraction.",185,Female,Arya et al (2015) Chemical Senses
Olfactory response eugenol (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Eugenol solution. Higher values indicate avoidance of Eugenol, lower values indicate attraction.",185,Male,Arya et al (2015) Chemical Senses
Olfactory response heliol (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Heliol solution. Higher values indicate avoidance of Heliol, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response heliol (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Heliol solution. Higher values indicate avoidance of Heliol, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response hexal (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Hexal solution. Higher values indicate avoidance of Hexal, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response hexal (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in Hexal solution. Higher values indicate avoidance of Hexal, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
Olfactory response L-carvone (F),"Mean number of flies that moved away from a cotton wool swab that had been dipped in l-Carvone solution. Higher values indicate avoidance of l-Carvone, lower values indicate attraction.",186,Female,Arya et al (2015) Chemical Senses
Olfactory response L-carvone (M),"Mean number of flies that moved away from a cotton wool swab that had been dipped in l-Carvone solution. Higher values indicate avoidance of l-Carvone, lower values indicate attraction.",186,Male,Arya et al (2015) Chemical Senses
