Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Concord_Evid_Ratio,Female_notable,Male_notable,Overall_notable,Diff_notable,Concord_notable,Trait_nice,Life_stage,Trait guild,study_ID,Reference,Trait description,Trait_Sex,position
glucose.2015.m,0.5303682448589192,4.254515599343185,1.6832131477444239,0.2337111573752795,0.6805724187211829,No,No,No,No,No,Glucose  (M),Adult,Metabolome,104,"Unckless, Rottschaefer and Lazzaro (2015) G3",Estimated mass of free glucose per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,Traits measured in males,251
glucose.high.glucose.diet.m,0.31546493463783604,3.2826552462526766,0.9636720667648503,0.1817711795553586,0.5657294699350095,No,No,No,No,No,Glucose high glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of free glucose.,Traits measured in males,252
glucose.low.glucose.diet.m,6.111111111111111,49.79365079365079,66.51054852320675,0.3543253766717454,5.460975455864726,No,Yes,Yes,No,No,Glucose low glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of free glucose.,Traits measured in males,253
glucose.medium.glucose.diet.m,0.6534049808825049,11.638230647709321,3.5236075770426916,0.14187838995147017,0.7000270862128095,No,No,No,No,No,Glucose medium glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean free glucose (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of free glucose.,Traits measured in males,254
glucose.yeast.poor.diet.f,0.7775802688590157,1.007024586051179,0.8465089440276976,0.8252338580880675,0.9991245084105977,No,No,No,No,No,Glucose yeast poor diet (F),Adult,Metabolome,80,Nelson et al (2016) BMC Genomics,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher glucose levels.,Traits measured in females,255
glucose.yeast.rich.diet.f,0.7497812773403325,1.7247956403269755,1.1896811276857808,0.537574476263694,0.9267117388766114,No,No,No,No,No,Glucose yeast rich diet (F),Adult,Metabolome,80,Nelson et al (2016) BMC Genomics,Mean quantity of glucose extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher glucose levels.,Traits measured in females,256
glycerol.2015.m,0.9209989194381079,1.7229407760381212,1.3481068388611681,0.6445677870284716,0.9783984851897398,No,No,No,No,No,Glycerol  (M),Adult,Metabolome,104,"Unckless, Rottschaefer and Lazzaro (2015) G3",Estimated mass of free glycerol per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,Traits measured in males,257
glycerol.high.glucose.diet.m,1.4056532852202677,2.1993601279744053,2.2553407934893186,0.7528483786152498,1.1349577159114848,No,No,No,No,No,Glycerol high glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycerol.,Traits measured in males,258
glycerol.low.glucose.diet.m,3.074357015533486,2.795966785290629,4.936920222634508,1.157788267026298,1.63462875765213,No,No,No,No,No,Glycerol low glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycerol.,Traits measured in males,259
glycerol.medium.glucose.diet.m,2.9761431411530817,3.956629491945477,5.974716652136007,0.8805829807240244,1.8427686007679747,No,No,No,No,No,Glycerol medium glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean glycerol (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycerol.,Traits measured in males,260
glycogen.2015.m,1.2462445598764567,5.828851899274435,3.891470498318557,0.35604712263751165,1.1680653426438417,No,No,No,No,No,Glycogen  (M),Adult,Metabolome,104,"Unckless, Rottschaefer and Lazzaro (2015) G3",Estimated mass of glycogen stores per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,Traits measured in males,261
glycogen.high.glucose.diet.m,0.62354134956874685,11.903225806451612,3.6242774566473988,0.13314447592067988,0.6723325642345551,No,No,No,No,No,Glycogen high glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of glycogen.,Traits measured in males,262
glycogen.low.glucose.diet.m,3.028197381671702,12.479359730412805,13.388489208633093,0.45348837209302323,2.501358800758351,No,No,No,No,No,Glycogen low glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of glycogen.,Traits measured in males,263
glycogen.medium.glucose.diet.m,1.5453388482341712,19.565552699228792,10.049723756906078,0.2146056327336218,1.479587378063385,No,No,No,No,No,Glycogen medium glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean glycogen (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of glycogen.,Traits measured in males,264
protein.2015.m,1.4453614549900657,0.18711975070485234,0.43562135486765363,4.053695514845231,0.7782360193208676,No,No,No,No,No,Protein  (M),Adult,Metabolome,104,"Unckless, Rottschaefer and Lazzaro (2015) G3",Estimated mass of soluble protein per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,Traits measured in males,265
protein.high.glucose.diet.m,2.261977573904179,0.3068692313975333,0.8124150430448572,4.108556832694764,0.6594909887370475,No,No,No,No,No,Protein high glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of protein.,Traits measured in males,266
protein.low.glucose.diet.m,0.6129032258064516,0.7853157777281857,0.5998400159984002,0.815499829796891,1.059435302839961,No,No,No,No,No,Protein low glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of protein.,Traits measured in males,267
protein.medium.glucose.diet.m,1.2576548610131226,0.5597582374731916,0.7917133258678611,1.7524514020299329,0.9375868754162217,No,No,No,No,No,Protein medium glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of protein.,Traits measured in males,268
triglyceride.2015.m,0.06666666666666667,1.303152439902116,0.18985647356287647,0.12707805015497323,0.7934455170867717,No,No,No,No,No,Triglyceride  (M),Adult,Metabolome,104,"Unckless, Rottschaefer and Lazzaro (2015) G3",Estimated mass of total trigylcerides per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,Traits measured in males,269
triglyceride.high.glucose.diet.m,4.904059040590406,9.050251256281408,15.684045881126172,0.7391304347826086,3.252254359225132,No,No,No,No,No,Triglyceride high glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of triglycerides.,Traits measured in males,270
triglyceride.low.glucose.diet.m,6.8817733990147785,0.15248865518980048,1.1381798743819325,17.53997682502897,0.2913443308117482,No,No,No,No,No,Triglyceride low glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of triglycerides.,Traits measured in males,271
triglyceride.medium.glucose.diet.m,9.184595798854232,1.2605255721955355,5.514657980456026,3.9276255004619647,1.204142817296088,No,No,No,No,No,Triglyceride medium glucose diet (M),Adult,Metabolome,105,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of triglycerides.,Traits measured in males,272
triglyceride.poor.diet.f,0.48892611204168995,5.644518272425249,1.9170464904284412,0.1775962316920586,0.6129920054067491,No,No,No,No,No,Triglyceride poor diet (F),Adult,Metabolome,80,Nelson et al (2016) BMC Genomics,Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher triglyceride levels.,Traits measured in females,273
triglyceride.yeast.rich.diet.f,0.8874601863866934,1.3168259484506226,1.1091484313208542,0.7660044150110376,0.9838244533579468,No,No,No,No,No,Triglyceride yeast rich diet (F),Adult,Metabolome,80,Nelson et al (2016) BMC Genomics,Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher triglyceride levels.,Traits measured in females,274
glucose.anexic.m,0.1967985638417234,0.44770177343467243,0.1675423234092236,0.5631105900742478,1.6882955727216298,No,No,No,No,No,Glucose anexic (M),Adult,Microbiome,24,Dobson et al (2015) Nature Communications,"Mean combined glucose content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glucose content.",Traits measured in males,275
glucose.gnotobiotic.m,1.0042590504822748,0.18290699393760165,0.3153567905294311,3.0847587439366864,0.9970686153146893,No,No,No,No,No,Glucose gnotobiotic (M),Adult,Microbiome,24,Dobson et al (2015) Nature Communications,"Mean combined glucose content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glucose content.",Traits measured in males,276
glucose.microbiome.effect.m,2.3064682785699526,1.329305575775222,2.2447779355100383,1.4683739586547362,1.118331696618691,No,No,No,No,No,Glucose microbiome effect (M),Adult,Microbiome,24,Dobson et al (2015) Nature Communications,"Mean change in the combined glucose content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glucose content. Note though that the presence of micriobiota on average decreased glucose content.",Traits measured in males,277
