Trait,Trait guild,Trait description,Reference,Life_stage
inosine.high.yeast.f,Metabolome,Mean relative inosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
inosine.low.yeast.f,Metabolome,Mean relative inosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
inositol.high.yeast.f,Metabolome,Mean relative inositol concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
inositol.low.yeast.f,Metabolome,Mean relative inositol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
interocular.distance.f,Morphological,Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,Vonesch et al (2016) PLOS Genetics,Adult
interocular.distance.m,Morphological,Mean Interocular distance. This is measured from eye edge to eye edge along the anterior edge of the posterior ocelli and palel to the base of the head. Higher values indicate a greater distance between the eyes.,Vonesch et al (2016) PLOS Genetics,Adult
iso-leucine.high.yeast.f,Metabolome,Mean relative iso-leucine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
iso-leucine.low.yeast.f,Metabolome,Mean relative iso-leucine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
isolated.aggression.m,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in isolation for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics,Adult
isoValeric.acid.high.yeast.f,Metabolome,Mean relative isoValeric acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
isoValeric.acid.low.yeast.f,Metabolome,Mean relative isoValeric acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
kujin.virus.resistance.f,Pathogen response,Mean survival after infection with the Kunjin subtype of the West Nile Virus. Calculated as the log(hazard ratio). Higher values indicate greater susceptibility to the virus.,Ahlers et al (2019) Cell Reports,Adult
L-Kynurenine.high.yeast.f,Metabolome,Mean relative L-Kynurenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
L-Kynurenine.low.yeast.f,Metabolome,Mean relative L-Kynurenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
L.bevis.load.m,Microbiome,"Mean bacterial load, calculated from the DNA content of the bacterial strain and the DNA content of the fly. Higher values indicate a greater bacterial load. The bacteria measured here is L.bevis; a commensal gut bacteria commonly found in the GI tract of D.melanogaster.",Early et al (2017) PLOS One,Adult
L.monocytogenes.load.m,Pathogen response,The median number  of colony forming units (originally log transformed) 48 hrs after initial infection with the bacterial pathogen L.monocytogenes. Higher values indicate a greater bacterial load and a more severe infection.,Hotson and Schneider (2015) G3,Adult
L.monocytogenes.MTD.m,Pathogen response,Median days till death after injection with 1000 colony forming units of the bacterial pathogen L. monocytogenes. Higher values indicate greater resistance to the L. monocytogenes.,Hotson and Schneider (2015) G3,Adult
L.plantarum.load.m,Microbiome,"Mean bacterial load, calculated from the DNA content of the bacterial strain and the DNA content of the fly. Higher values indicate a greater bacterial load. The bacteria measured here is L.plantarum; a commensal gut bacteria commonly found in the GI tract of D.melanogaster.",Early et al (2017) PLOS One,Adult
lactate.2018.f,Metabolome,Mean quantity of lactate per adult fly. Higher values indicate a higher lactate content.,Jehrke et al (2018) Scientific Reports,Adult
lactate.2018.m,Metabolome,Mean quantity of lactate per adult fly. Higher values indicate a higher lactate content.,Jehrke et al (2018) Scientific Reports,Adult
lactate.high.yeast.f,Metabolome,Mean relative lactate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
lactate.larvae.2018,Metabolome,Mean quantity of lactate per third instar larvae. Higher values indicate a higher lactate content.,Jehrke et al (2018) Scientific Reports,Juvenile
lactate.low.yeast.f,Metabolome,Mean relative lactate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
lactose.high.yeast.f,Metabolome,Mean relative lactose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
lactose.low.yeast.f,Metabolome,Mean relative lactose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
larvae.length.low.yeast.anexic,Morphological,Larval size in mm 7 days post-embryonic development in protein poor conditions (lacking yeast). Larvae were purged of a microbiome and left to develop. Larger values indicate longer larvae.,Ma et al (2019) iScience,Juvenile
larvae.length.low.yeast.L.plantarum,Morphological,Larval size in mm 7 days post-embryonic development in protein poor conditions (lacking yeast). Larvae were purged of a microbiome and subsequently associated with the commensal gut bacteria Lactobacillus plantarum. Larger values indicate longer larvae.,Ma et al (2019) iScience,Juvenile
lead.effect.development.time.f,Stress response,Mean difference in egg-to-adult development time between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time when supplemented with lead.,Zhou et al (2016) Environmental Health Perspectives,Juvenile
lead.effect.development.time.m,Stress response,Mean difference in egg-to-adult development time between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time when supplemented with lead.,Zhou et al (2016) Environmental Health Perspectives,Juvenile
lead.effect.locomotor.activity.f,Stress response,Mean difference in locomotor between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a larger negative effect of lead on activity.,Zhou et al (2016) Environmental Health Perspectives,Adult
lead.effect.locomotor.activity.m,Stress response,Mean difference in locomotor between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a larger negative effect of lead on activity.,Zhou et al (2016) Environmental Health Perspectives,Adult
lead.effect.viability,Stress response,Mean difference in egg-to-adult viability between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a smaller negative effect of lead on viability.,Zhou et al (2016) Environmental Health Perspectives,Juvenile
lead.egg.adult.development.time.2016.f,Life history,"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.",Zhou et al (2016) Environmental Health Perspectives,Juvenile
